,Episode Number,First Activation Time [ms],First Event Time [ms],First Event Amplitude[pA]
274,274,10.000,10.150,-0.530
275,275,13.425,13.250,-0.530
276,276,13.100,11.350,-0.530
277,277,13.325,12.950,-0.530
278,278,13.950,12.875,-0.530
279,279,13.650,12.625,-0.530
280,280,12.900,12.450,-0.530
281,281,14.125,13.975,-0.530
282,282,13.375,13.100,-0.530
283,283,13.350,13.050,-0.530
284,284,13.125,12.400,-0.530
285,285,10.000,13.550,-0.530
286,286,13.325,13.200,-0.530
287,287,10.000,13.025,-0.530
288,288,10.000,11.000,-0.530
289,289,10.275,9.325,-0.530
290,290,13.475,12.400,-0.530
291,291,12.900,12.650,-0.530
292,292,11.700,11.550,-0.530
293,293,12.925,12.750,-0.530
294,294,13.375,11.900,-0.530
295,295,12.650,12.400,-0.530
296,296,13.875,13.000,-0.530
297,297,13.850,13.200,-0.530
298,298,99.825,99.600,-0.530
299,299,13.925,13.625,-0.530
300,300,13.100,12.925,-0.530
301,301,13.050,12.375,-0.530
302,302,13.225,12.500,-0.530
303,303,10.000,10.750,-0.530
304,304,10.000,12.425,-0.530
305,305,10.000,13.350,-0.530
306,306,12.750,12.000,-0.530
307,307,12.800,10.400,-0.530
308,308,12.950,12.800,-0.530
309,309,12.400,12.125,-0.530
310,310,10.000,12.925,-0.530
311,311,10.000,12.225,-0.530
312,312,10.000,12.950,-0.530
313,313,13.825,12.450,-0.530
314,314,13.775,12.450,-0.530
315,315,13.800,12.200,-0.530
316,316,12.425,12.175,-0.530
317,317,10.000,12.225,-0.530
318,318,13.525,13.350,-0.530
319,319,13.200,13.025,-0.530
320,320,10.000,9.600,-0.530
321,321,13.250,12.750,-0.530
322,322,10.000,11.700,-0.530
323,323,11.450,11.300,-0.530
324,324,73.475,73.325,-0.530
325,325,13.300,12.750,-0.530
326,326,13.250,12.250,-0.530
327,327,12.800,12.675,-0.530
328,328,13.275,12.700,-0.530
329,329,12.975,11.700,-0.530
330,330,13.400,13.175,-0.530
331,331,13.425,12.725,-0.530
332,332,13.350,12.775,-0.530
333,333,13.175,12.950,-0.530
334,334,0.200,13.300,-0.530
335,335,13.875,13.375,-0.530
336,336,13.600,13.325,-0.530
337,337,10.000,12.975,-0.530
338,338,13.125,12.525,-0.530
339,339,10.000,12.100,-0.530
340,340,13.825,13.200,-0.530
341,341,10.000,13.425,-0.530
342,342,10.000,12.550,-0.530
343,343,14.600,14.675,-1.100
344,344,14.425,14.500,-1.100
345,345,14.475,14.550,-1.630
346,346,14.375,14.200,-0.530
347,347,14.325,14.400,-1.630
348,348,14.475,14.125,-0.530
349,349,14.550,14.625,-1.630
350,350,14.450,13.825,-0.530
351,351,14.450,14.375,-0.530
352,352,14.425,14.300,-0.530
353,353,14.350,14.400,-1.630
354,354,14.375,14.425,-1.630
355,355,14.500,14.425,-0.530
356,356,14.325,14.150,-0.530
357,357,14.400,14.250,-0.530
358,358,14.500,14.425,-1.100
359,359,14.425,14.500,-1.630
360,360,14.350,14.225,-0.530
361,361,14.450,14.400,-1.100
362,362,14.600,14.200,-0.530
363,363,14.400,14.300,-0.530
364,364,14.425,14.500,-1.630
365,365,14.375,13.425,-0.530
366,366,14.400,14.275,-0.530
367,367,14.425,14.300,-0.530
368,368,14.500,14.575,-1.630
369,369,14.425,14.475,-1.630
370,370,14.425,14.475,-1.630
371,371,14.375,13.175,-0.530
372,372,14.425,14.500,-1.630
373,373,14.400,14.450,-1.630
374,374,14.800,14.300,-0.530
375,375,14.325,14.400,-1.630
376,376,14.350,14.225,-0.530
